node_id	longitude	latitude
u155k5vvxrzz	4.402750	51.217875
u155k5ytvwk0	4.403699	51.217909
u155kv3hjgh4	4.429116	51.225831
u155kv3m0npv	4.429218	51.226020
u155k7fmhr04	4.408790	51.217785
u155k7ft5zh4	4.409117	51.217785
u155k7gsbnrf	4.410335	51.217738
u155k7gy6kev	4.410769	51.217986
u155k7unjzeu	4.411263	51.217959
u155k1bk6wb4	4.394982	51.206668
u155m28sffpc	4.450278	51.199862
u155k7yvgu7u	4.414954	51.217899
u155k7znm57v	4.415351	51.217980
u155k7zm3upg	4.415560	51.217812
u155k7ztzgzb	4.416161	51.217896
u155kebjpfxy	4.416847	51.217761
u155kebtfe5u	4.417303	51.217892
u155kebvm3xf	4.417770	51.217798
u155kefugxef	4.420436	51.217744
u155kegn2bk1	4.420661	51.217963
u155keuvw9xz	4.423317	51.217842
u155kevjw3sp	4.423644	51.217842
u155kevt5724	4.424196	51.217765
u155keyyrmrc	4.426095	51.217990
u155keznm77v	4.426348	51.217980
u155kezq78uj	4.426616	51.217966
u155kezv4c7y	4.427270	51.217755
u155kgcnmkh1	4.429094	51.217983
u155kgvmnhs4	4.434963	51.217771
u155kgvvdt7z	4.435499	51.217862
u155kgynrbgv	4.436068	51.217966
u155m5cyqmk1	4.441153	51.217990
u155m5fju3gu	4.441411	51.217886
u155m5fm1dey	4.441636	51.217761
u155m5uj1u84	4.444045	51.217771
u155m5uqp400	4.444613	51.217929
u155m5vjbv00	4.445375	51.217902
u155m5vq28uj	4.445713	51.217966
u155m5vtb1pz	4.446040	51.217882
u155m5ymfwuh	4.447172	51.217912
u155m5yq5dpb	4.447221	51.217929
u155m5yvhhs4	4.447923	51.217771
u155m5zj6gkp	4.448213	51.217808
u155m5zmfqbh	4.448529	51.217912
u155m5zymf5v	4.449372	51.217973
u155m7ct3u05	4.451598	51.217812
u155m7fjpd5f	4.452537	51.217758
u155m7fwjmhh	4.453127	51.217946
u1557eyrjgb4	4.381388	51.218111
u1557eyz7fsp	4.381995	51.218148
u1557ezz4b8n	4.383320	51.218094
u1557gbqgepf	4.384049	51.218064
u155khz14fup	4.404268	51.222569
u155k5p1e5pz	4.404284	51.213043
u155k5bre3s5	4.395019	51.218185
u155k5cz6ppg	4.397031	51.218171
u155k5fwucu4	4.398174	51.218057
u155k5fxwub0	4.398254	51.218201
u155mj3j5zrv	4.440022	51.226026
u155k5grej2h	4.399123	51.218205
u155k5upvwzb	4.400271	51.218255
u155k5yxjxs5	4.403699	51.218131
u155k167h8s4	4.397820	51.203674
u155k5zzqgbp	4.405464	51.218154
u155k7bpznhh	4.405823	51.218252
u155k7bx87xb	4.406226	51.218195
u155k7bzk2zg	4.406741	51.218138
u155k7bzxfu5	4.406886	51.218191
u155k7cr01un	4.407240	51.218101
u155k7cwfqu4	4.407679	51.218084
u155k7fr5ck4	4.408774	51.218097
u155k7fx5b04	4.409112	51.218091
u155k7fyfe04	4.409401	51.218064
u1557uee9zrg	4.388437	51.221649
u155k7gqwyey	4.410276	51.218040
u155k7gyd781	4.410764	51.218023
u155k7uqb3hn	4.411370	51.218054
u155k7ux4yrg	4.411826	51.218124
u155k7uzuw0h	4.412234	51.218252
u155kkj0n0eu	4.412647	51.218265
u155k7yrqt5z	4.414385	51.218161
u155k7znt3h1	4.415361	51.218010
u155k7zr1y7g	4.415554	51.218124
u155kebnxgxc	4.416847	51.218023
u155kecp9rzu	4.417942	51.218218
